               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 107,            0.017007,           0.0088396,            0.011429,             0.88481,             0.85923,             0.93146,             0.75197,            0.014822,            0.003061,            0.011422,            0.003004,            0.003004,            0.003004
                 108,            0.017321,           0.0089554,            0.013991,             0.88539,             0.85836,             0.94505,              0.7376,            0.015483,           0.0030577,            0.010341,            0.002938,            0.002938,            0.002938
                 109,            0.017169,           0.0090121,            0.014401,             0.90963,             0.83531,             0.93257,             0.74941,            0.014866,           0.0029926,            0.010801,            0.002872,            0.002872,            0.002872
                 110,            0.016708,           0.0087856,            0.013604,             0.90691,             0.87471,             0.93591,             0.75209,            0.015565,           0.0029768,            0.010347,            0.002806,            0.002806,            0.002806
                 111,            0.016758,           0.0087342,            0.014643,              0.8987,             0.86018,             0.94152,             0.75159,            0.014968,           0.0029948,            0.011396,             0.00274,             0.00274,             0.00274
                 112,            0.016734,           0.0089433,            0.013809,             0.88948,             0.82295,             0.92745,             0.73321,            0.015482,           0.0029782,            0.011087,            0.002674,            0.002674,            0.002674
                 113,            0.016662,            0.008888,            0.012605,             0.89519,             0.88665,             0.94535,              0.7422,             0.01511,           0.0030121,           0.0098362,            0.002608,            0.002608,            0.002608
                 114,            0.016785,           0.0088892,            0.013958,             0.86119,             0.89313,             0.95023,             0.74999,            0.015191,           0.0030015,            0.010442,            0.002542,            0.002542,            0.002542
                 115,            0.016564,           0.0089293,            0.012988,             0.89536,             0.86679,              0.9443,             0.74106,            0.015252,           0.0029472,            0.010116,            0.002476,            0.002476,            0.002476
                 116,            0.016712,            0.008887,            0.013528,             0.85794,             0.89953,             0.93831,             0.73313,            0.015631,            0.003005,            0.010566,             0.00241,             0.00241,             0.00241
                 117,            0.016401,           0.0088065,            0.013609,             0.87558,             0.86675,             0.91734,             0.70735,            0.015925,            0.003039,            0.010675,            0.002344,            0.002344,            0.002344
                 118,            0.016367,           0.0088292,            0.012444,             0.92218,             0.86226,             0.94715,             0.74181,            0.015388,           0.0030559,            0.010534,            0.002278,            0.002278,            0.002278
                 119,            0.016461,           0.0086198,            0.013242,             0.89428,             0.86462,             0.94512,             0.75958,            0.014575,           0.0030039,           0.0098721,            0.002212,            0.002212,            0.002212
                 120,            0.016497,           0.0086627,            0.012805,             0.90794,              0.8818,             0.94673,             0.75075,             0.01582,           0.0030351,            0.010514,            0.002146,            0.002146,            0.002146
                 121,            0.016348,            0.008738,            0.012712,             0.92627,             0.87381,             0.94658,             0.75731,             0.01531,           0.0029458,           0.0097626,             0.00208,             0.00208,             0.00208
                 122,            0.016091,           0.0087151,            0.012472,             0.91525,             0.86715,             0.94387,             0.76073,            0.014597,             0.00296,            0.010192,            0.002014,            0.002014,            0.002014
                 123,             0.01617,           0.0085097,            0.012232,             0.90535,             0.86272,             0.93167,             0.74469,            0.014981,           0.0029814,            0.010447,            0.001948,            0.001948,            0.001948
                 124,            0.015821,           0.0087181,            0.012449,             0.90983,             0.87946,             0.94403,              0.7626,            0.014609,           0.0029742,           0.0098131,            0.001882,            0.001882,            0.001882
                 125,            0.015925,           0.0086341,            0.012735,             0.91443,             0.87546,             0.94533,             0.74791,             0.01561,           0.0029618,           0.0092164,            0.001816,            0.001816,            0.001816
                 126,            0.015586,           0.0084388,             0.01238,             0.90878,             0.87528,             0.94559,             0.76821,            0.014618,           0.0029552,           0.0095387,             0.00175,             0.00175,             0.00175
                 127,            0.015624,           0.0085184,            0.012354,             0.88793,             0.86972,              0.9453,             0.76386,            0.014947,           0.0030032,            0.011212,            0.001684,            0.001684,            0.001684
                 128,            0.015311,           0.0083404,            0.011141,             0.89575,             0.87496,             0.94309,              0.7568,            0.014864,           0.0030057,            0.010951,            0.001618,            0.001618,            0.001618
                 129,            0.015509,           0.0085674,            0.011101,             0.90896,             0.87847,             0.94498,              0.7578,            0.014956,           0.0030178,           0.0098851,            0.001552,            0.001552,            0.001552
                 130,            0.015331,           0.0085042,            0.010915,             0.92089,             0.85836,             0.94061,             0.76298,            0.015193,           0.0029981,            0.010842,            0.001486,            0.001486,            0.001486
                 131,            0.015139,           0.0084294,            0.011249,             0.88312,             0.88076,             0.94556,             0.74432,            0.015141,            0.003054,            0.011507,             0.00142,             0.00142,             0.00142
                 132,             0.01502,           0.0083855,            0.010933,             0.89088,              0.8852,             0.94662,             0.76622,            0.014774,           0.0030096,            0.011498,            0.001354,            0.001354,            0.001354
                 133,            0.014849,           0.0085578,            0.010982,             0.88439,             0.88769,             0.95119,             0.77601,            0.014557,           0.0029487,            0.011583,            0.001288,            0.001288,            0.001288
                 134,            0.014978,           0.0086299,            0.011913,             0.88473,             0.86264,             0.93924,             0.75604,            0.014697,           0.0029981,            0.012157,            0.001222,            0.001222,            0.001222
                 135,              0.0151,           0.0086035,            0.011718,             0.89613,             0.89966,             0.94717,              0.7604,            0.014858,            0.002958,             0.01073,            0.001156,            0.001156,            0.001156
                 136,             0.01478,           0.0084716,            0.011192,             0.89209,             0.89476,             0.94226,             0.75123,            0.015188,           0.0029999,            0.010425,             0.00109,             0.00109,             0.00109
                 137,            0.014659,           0.0084746,            0.011397,             0.87407,              0.9002,             0.94458,             0.76719,            0.014667,           0.0029409,            0.010569,            0.001024,            0.001024,            0.001024
                 138,            0.014387,            0.008362,            0.010974,             0.89872,             0.88094,             0.94167,             0.77052,            0.015067,           0.0029089,            0.010103,            0.000958,            0.000958,            0.000958
                 139,             0.01452,           0.0082666,            0.010516,             0.91046,             0.88252,             0.95188,             0.77995,             0.01476,           0.0029324,           0.0098216,            0.000892,            0.000892,            0.000892
                 140,            0.014514,           0.0082416,            0.010313,             0.89274,              0.8862,              0.9427,             0.76163,            0.014944,           0.0029569,           0.0098912,            0.000826,            0.000826,            0.000826
                 141,            0.014343,           0.0080663,            0.010322,             0.91185,             0.87211,             0.94114,             0.76091,            0.014654,           0.0029833,            0.010447,             0.00076,             0.00076,             0.00076
                 142,            0.014385,           0.0085802,            0.010803,             0.91417,             0.87208,             0.93591,             0.76224,            0.014513,           0.0029274,            0.010115,            0.000694,            0.000694,            0.000694
                 143,             0.01404,           0.0082925,            0.010375,             0.90657,             0.85176,             0.93235,             0.75459,            0.014794,           0.0029308,            0.010698,            0.000628,            0.000628,            0.000628
                 144,            0.014125,           0.0082115,            0.010682,             0.88048,              0.8907,             0.93267,             0.75727,            0.014733,           0.0029113,            0.011078,            0.000562,            0.000562,            0.000562
                 145,            0.014242,           0.0083015,            0.010692,             0.90296,             0.87944,             0.93657,             0.74929,            0.015106,           0.0029524,            0.010848,            0.000496,            0.000496,            0.000496
                 146,            0.014042,           0.0082508,           0.0097538,             0.90332,             0.87333,             0.93695,              0.7594,            0.014687,           0.0029356,            0.010808,             0.00043,             0.00043,             0.00043
                 147,            0.013973,           0.0083002,           0.0095935,             0.91074,             0.88583,              0.9423,             0.75443,            0.014713,           0.0029209,            0.010615,            0.000364,            0.000364,            0.000364
                 148,            0.013279,           0.0082531,           0.0091908,             0.90876,             0.87732,             0.94642,             0.76173,            0.014791,           0.0029321,            0.010417,            0.000298,            0.000298,            0.000298
                 149,            0.013535,           0.0081009,           0.0098752,             0.90967,             0.87759,             0.92789,             0.74763,            0.014687,           0.0029257,            0.010561,            0.000232,            0.000232,            0.000232
